date,gameVersion
2019-08-18,9172857764
2019-08-18,9172857763
2019-08-16,9172855957
2019-08-16,9172855956
2019-08-15,9172854629
2019-08-14,9172854143
2019-08-14,9172853264
2019-08-14,9172853254
2019-08-30,9162866048
2019-08-22,9162862167
2019-08-22,9162851247
2019-08-14,916285650
2019-08-10,9162848446
2019-08-09,9162846947
2019-08-08,9162845830
2019-08-07,9162844415
2019-08-02,9162841332
2019-08-03,9162841062
2019-08-02,916284150
2019-08-02,9162839519
2019-08-01,9162838651
2019-08-01,9162838571
2019-07-30,9162836431
2019-08-07,9152844287
2019-08-05,9152841593
2019-08-02,9152839993
2019-08-03,9152837505
2019-07-31,9152837080
2019-07-31,9152834482
2019-07-27,9152834011
2019-07-26,9152831068
2019-07-25,915283349
2019-07-24,9152828877
2019-07-20,9152825457
2019-08-15,9152823928
2019-07-18,9152821878
2019-07-17,9152821855
2019-07-23,9142827724
2019-07-20,9142826178
2019-07-19,9142825042
2019-07-18,9142823231
2019-07-16,914282509
2019-07-16,914282267
2019-07-15,9142818727
2019-07-11,9142815065
2019-07-11,9142813978
2019-07-11,9142813302
2019-07-10,9142811924
2019-07-10,9142811682
2019-07-10,9142811670
2019-07-09,9142809998
2019-07-09,9142809992
2019-07-05,9142808160
2019-07-05,9142808111
2019-07-04,9142808042
2019-07-03,9142805672
2019-07-02,9142804178
2019-07-16,9132819262
2019-07-03,9132805558
2019-07-02,9132804632
2019-07-02,9132803562
2019-06-29,9132801988
2019-06-27,913280545
2019-06-28,9132799073
2019-06-25,9132798364
2019-06-25,9132797717
2019-06-26,9132796597
2019-06-22,9132795921
2019-06-21,9132794426
2019-06-20,9132794063
2019-06-20,9132793556
2019-06-19,9132792219
2019-06-19,9132791976
2019-06-19,9132791964
2019-06-18,913279555
2019-06-18,913279509
2019-06-18,9132788760
2019-06-18,9132788670
2019-06-17,9132788654
2019-06-15,9132786661
2019-06-16,9132786617
2019-06-15,9132785824
2019-10-20,9132784068
2019-06-12,9132781295
2019-06-11,9132779617
2019-06-11,9132779605
2019-06-13,9122782588
2019-06-12,9122778490
2019-06-08,9122776513
2019-06-08,9122776038
2019-06-06,9122773086
2019-06-06,9122771433
2019-06-05,912277477
2019-06-04,9122769436
2019-06-04,9122767889
2019-06-04,9122767625
2019-06-04,9122767615
2019-06-01,9122765377
2019-06-01,9122765333
2019-05-31,9122763400
2019-05-30,9122761582
2019-05-29,9122761581
2019-05-31,9112764911
2019-05-30,9112763025
2019-05-30,9112761040
2019-05-25,9112756613
2019-05-24,9112754725
2019-05-23,9112752423
2019-05-22,911275793
2019-05-19,9112748298
2019-05-18,9112748289
2019-05-17,9112745372
2019-05-15,9112743902
2019-05-15,9112742361
2019-05-17,9102746044
2019-05-16,9102743457
2019-05-11,910274399
2019-05-15,910274299
2019-05-10,9102739316
2019-05-08,9102735690
2019-05-07,9102735253
2019-05-08,9102734992
2019-05-08,9102734977
2019-05-07,9102733177
2019-05-03,9102731564
2019-05-03,910273274
2019-05-03,910273175
2019-05-03,910273121
2019-05-01,9102728163
2019-05-01,9102728151
2019-11-08,9102726944
2019-04-30,9102726802
2019-05-04,992731680
2019-05-03,992731222
2019-05-03,992729496
2019-04-30,992726103
2019-04-27,992724950
2019-04-26,992723557
2019-04-26,992722050
2019-04-24,99272642
2019-04-24,99272635
2019-04-24,992719533
2019-04-24,992719087
2019-04-23,992719075
2019-04-23,992717664
2019-04-22,992717630
2019-04-20,992716332
2019-04-18,992714979
2019-04-18,992714963
2019-04-17,992713318
2019-04-17,992713294
2019-04-16,992711618
2019-04-13,982709450
2019-04-13,982708833
2019-04-12,982706448
2019-04-11,982705457
2019-04-10,982705427
2019-04-10,982703910
2019-04-10,982703826
2019-04-09,982701942
2019-04-06,98270197
2019-04-06,98270188
2019-04-05,982698334
2019-04-04,982698244
2019-04-04,982698221
2019-04-04,982696834
2019-04-02,982694768
2019-04-02,982694740
2019-04-10,972704324
2019-04-08,97270816
2019-04-06,97270792
2019-04-05,972699729
2019-04-04,972696900
2019-04-02,972693905
2019-03-30,972692391
2019-03-30,972692243
2019-03-28,972689953
2019-03-28,972688766
2019-03-27,972687363
2019-03-26,972687326
2019-03-26,972685697
2019-03-25,972685389
2019-03-24,972683539
2019-03-23,972683302
2019-03-22,972683256
2019-03-21,972681311
2019-03-21,972679318
2019-03-20,972679302
2019-03-20,972677615
2019-03-19,972677586
2019-03-26,962682663
2019-03-15,962674221
2019-03-15,962672825
2019-03-15,962672540
2019-03-13,96267327
2019-03-13,962668526
2019-03-12,962668483
2019-03-12,962667234
2019-03-12,962666768
2019-03-09,962664940
2019-03-08,962664861
2019-03-08,962663040
2019-03-07,962662469
2019-03-07,962661156
2019-03-06,96266684
2019-03-06,962659425
2019-03-06,962659370
2019-03-08,952664070
2019-03-07,952662064
2019-03-07,952661962
2019-03-05,952657724
2019-03-03,952656284
2019-03-02,952655750
2019-03-01,952653622
2019-02-28,952653172
2019-02-26,95265667
2019-02-26,952648716
2019-02-24,952646339
2019-02-22,952646035
2019-02-22,952645987
2019-02-22,952644500
2019-02-22,952644385
2019-02-21,952642111
2019-02-20,952642109
2019-03-02,942656069
2019-02-26,942649340
2019-02-23,942646852
2019-02-25,942646497
2019-02-22,942645490
2019-02-22,942643174
2019-02-22,942642938
2019-02-20,942641140
2019-02-20,942638995
2019-02-17,942638411
2019-02-16,942638129
2019-02-15,942637602
2019-02-15,942636613
2019-02-14,942634466
2019-02-12,942632001
2019-02-11,942629891
2019-02-08,942628030
2019-02-08,942626751
2019-02-08,942626623
2019-03-03,942624666
2019-02-06,942624488
2019-02-06,942622948
2019-02-12,93263278
2019-02-13,932624381
2019-02-19,932624379
2019-02-08,932621309
2019-02-02,932619578
2019-02-02,932618667
2019-02-01,932618289
2019-01-31,932616917
2019-01-31,932616789
2019-01-30,932615528
2019-01-29,932615316
2019-01-28,932614024
2019-01-28,932613998
2019-01-26,932612639
2019-01-25,932612522
2019-01-24,932611420
2019-01-24,932611087
2019-01-24,93261228
2019-01-24,932609563
2019-01-25,922611724
2019-01-25,92261914
2019-01-25,92261746
2019-01-27,92261205
2019-01-27,922609012
2019-01-19,922606714
2019-01-19,922606598
2019-01-18,922604872
2019-01-18,922604638
2019-01-17,922603030
2019-01-17,922601494
2019-01-16,922601451
2019-01-16,922599045
2019-01-15,922598371
2019-01-16,922598332
2019-01-15,922597427
2019-01-15,922597366
2019-01-15,922597355
2019-01-12,922594899
2019-01-12,922594880
2019-01-12,922594591
2019-01-11,922592090
2019-01-10,922591863
2019-01-10,922591300
2019-01-10,92259250
2019-01-10,9225963
2019-01-09,922589811
2019-01-09,922589166
2019-01-09,922589153
2019-01-08,922588532
2019-01-08,922588397
2019-01-17,91260635
2019-01-18,912598495
2019-01-15,912594551
2019-01-16,912587453
2019-01-08,912582226
2019-01-03,912578437
2018-12-15,912577563
2019-01-11,912577475
2018-12-15,912574335
2018-12-13,912573850
2018-12-13,912573194
2018-12-13,912572944
2018-12-12,91257966
2018-12-11,912569074
2018-12-11,912568851
2018-12-08,912567400
2018-12-08,912567227
2018-12-06,912565241
2018-12-06,912565146
2018-12-06,912563458
2018-12-05,912563411
